PSNR_LDCT,PSNR_ENH,SSIM_LDCT,SSIM_ENH
30.509893,28.332796,0.9878941769732116,0.9882306705042703
30.40018,28.116226,0.986739295657896,0.9875075151188579
30.285336,27.880596,0.9851599179177316,0.9853985828449164
30.22934,27.938705,0.9849198828181362,0.985032733839311
30.382833,27.769512,0.9844980387257175,0.9841777875927057
30.369804,27.872787,0.9845994197009222,0.9850204060953741
30.032913,27.944885,0.9840160653414844,0.9858249125447232
30.246288,27.672321,0.9854843363615854,0.9860852027368112
29.823378,27.327122,0.9837587913784769,0.9847378519282848
29.582188,27.405296,0.9803743846232023,0.9826179515022105
29.696213,27.140877,0.9821382905429991,0.9836551175252432
29.814512,27.479609,0.9774173088964806,0.9808241550603488
30.18655,27.832241,0.977848800975416,0.9807386166063434
30.02082,27.535595,0.9746730699177267,0.977617714863227
29.906536,27.245235,0.9718326934268732,0.9747685104204399
29.88822,26.999298,0.9687136678524274,0.9701218064099485
29.951727,26.864895,0.9721416884193402,0.9730916885372554
30.023157,26.93225,0.976439986609181,0.9773083457652809
29.929878,27.20591,0.9742481798431999,0.9754582573136432
29.914228,27.184498,0.9708119933590555,0.9726404707082834
29.974916,27.056335,0.9705419407865278,0.9709878358817392
30.047482,26.8318,0.9717156618925963,0.9730537778622729
30.030876,26.967232,0.9718805092685421,0.9727703825107943
29.994999,27.393215,0.9683915913852525,0.9715083724180225
30.03305,27.230227,0.96957321185623,0.9724000862252989
30.150892,27.360971,0.9670126885857803,0.9695267909758166
30.088684,27.388817,0.9704081806035132,0.9716703143349621
30.075026,27.37129,0.9684087894799313,0.9692706457896793
30.1822,27.511822,0.9674882363769483,0.9699431887545211
30.087746,27.68337,0.9703851550938312,0.9745509144393136
29.778387,27.580677,0.9676748682873,0.9732448031295353
30.12501,27.464094,0.9747865705616922,0.9758157743955761
29.934185,26.966602,0.975956081960928,0.9765090871336966
30.190296,27.712954,0.9781305981856792,0.9800651377024281
30.23816,27.994164,0.9757775325193031,0.9785574054440266
30.219067,27.787134,0.9713325697801967,0.9752877470939361
30.18996,27.3339,0.9753785174557734,0.9765219030993657
30.15306,27.116472,0.9759437745989136,0.9763761818457621
30.104294,27.193031,0.9743756893010428,0.9761226003456382
30.145063,26.99547,0.9758911328207931,0.978482842241057
30.125294,27.236233,0.9739226192375858,0.9781696645997197
30.170925,27.769363,0.9729599436668602,0.976811342298585
30.271393,27.78241,0.9743075591690508,0.9773390861229709
30.289679,28.070518,0.9748122960691755,0.9778406086806686
30.28712,27.6808,0.978451911807172,0.9811968364262775
30.29395,27.45312,0.9784750980547292,0.9801094999700442
30.339977,27.336042,0.9848994805601772,0.985729162964785
30.321064,27.728682,0.9877457697186062,0.9881595303208391
30.422657,27.645435,0.9879949528774414,0.987986957802562
30.479736,27.851536,0.9842158255398168,0.9858145697113379
30.378284,27.770338,0.9844526353968053,0.9853372482720306
30.383045,27.200594,0.9868175892992789,0.9873077437896428
30.474731,27.063868,0.9891320629432306,0.9886184386926119
30.437637,28.249254,0.9852323305253409,0.9868158192933792
30.537588,28.462744,0.9875847087110978,0.9892544120634661
30.658255,28.52,0.9809570605963877,0.9832848669656798
30.590572,28.368927,0.9818850129877212,0.9836186260726664
30.529089,28.175375,0.9856544063894347,0.9869409830940667
30.44914,27.78048,0.9870833693396284,0.9887968746339085
30.389244,28.047266,0.9860593260281353,0.9879387222792292
30.429733,28.044699,0.9791920136047905,0.9807782209054176
30.316998,28.121157,0.9792461281675754,0.9806734339402848
30.41235,28.073175,0.9815513764610543,0.9828569301999425
30.467203,28.23384,0.9722785490301314,0.9750208048791796
