LDCT_PSNR,Enhanced_PSNR,Region_Adaptive_PSNR,LDCT_SSIM,Enhanced_SSIM,Region_Adaptive_SSIM
28.357025,27.733181,28.32321,0.9824288571880664,0.986263480230673,0.9883272309177452
28.278088,27.33948,27.790804,0.9818123891054197,0.9848709245638091,0.9865936610902594
28.130665,27.269869,27.700403,0.9804549790980751,0.9839100339011336,0.9857129897907233
28.193548,27.166561,27.694683,0.97833587635717,0.9819217297638785,0.9844144126079236
28.143593,27.266827,27.732885,0.9786620221337284,0.9827078763437975,0.9848313745238743
27.895626,27.374786,28.01149,0.9769702662997068,0.9830405221241872,0.9858277980406687
28.144884,26.900557,27.507816,0.9800197518793364,0.9839672456397994,0.9866733226367467
27.689575,26.5543,26.984299,0.9785870684742896,0.9829820191971337,0.9856060238093522
27.673393,26.487343,26.987783,0.9751172176660446,0.9801043602759656,0.9831919902592393
27.579615,26.306513,26.787405,0.9760588209432814,0.9817312469810379,0.984696945426281
27.677303,26.57442,27.172613,0.966206530752705,0.9747914046206955,0.9791729322748024
28.006403,26.948023,27.704391,0.9681062868091973,0.9757008921181517,0.9807325515594579
27.732075,26.518124,27.045965,0.9643993139972112,0.9731657925157052,0.9780963543967728
27.667374,26.391428,26.833258,0.9578782001677266,0.9684211564834889,0.9734122494501345
27.793766,26.109798,26.557463,0.9618674746598963,0.9691440506227414,0.973587619540109
27.794333,26.073492,26.620422,0.9612445345367536,0.969330374598091,0.9742162480403747
27.648066,26.14338,26.707766,0.964108374568375,0.9723840790564416,0.9774595410574328
27.770777,26.468906,27.024221,0.9621652808185821,0.9705801911702547,0.9755605371828489
27.779387,26.355206,26.914825,0.9597359500241898,0.9682101695112529,0.9738485102756894
27.71135,26.228382,26.730135,0.956733925078993,0.9649386706940295,0.9712218097877056
27.766125,26.162996,26.717794,0.9593868751443347,0.9684888793085974,0.9739141096542794
27.962261,26.685694,27.140118,0.9651493003720545,0.9723198210488848,0.97634924614037
27.742445,26.51768,27.037289,0.9555457161823014,0.9660522728738434,0.9717056443643707
27.8076,26.575283,27.168638,0.9597539800287055,0.9694496497315616,0.9750291427735948
27.926598,26.458769,26.960764,0.9566687498928474,0.9666848861490146,0.9724198050277147
27.982883,26.680357,27.169714,0.9595056865194079,0.9675058603186524,0.9722132627959799
27.879799,26.63989,27.220194,0.9574944711820628,0.9659532208977071,0.9713357148611725
27.95512,26.673079,27.358128,0.9573284673704112,0.9668389524258291,0.9729816729466249
27.91397,26.876299,27.418375,0.960045510289491,0.9708228256287964,0.9759156415845851
27.724354,26.720217,27.360039,0.9586189721287098,0.9703335723559892,0.9759243809026734
27.834827,26.583763,27.150864,0.9625228194500351,0.971117533766603,0.9753454760796355
27.80169,26.245611,26.661379,0.9658595901832622,0.9723591898591997,0.9757579540123128
28.093391,27.133633,27.709087,0.970687583580544,0.9772421791015236,0.9807407064063779
