Method,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std
LDCT,25.02526,0.34746012,0.9536317181955323,0.02285492753453533
REGION,29.246496,1.4344884,0.9785084093611363,0.008925765440130592
CNN_TEST,32.49065,0.6011844,0.9906794824425437,0.0028892819541582442
