Method,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std
LDCT,27.777342,0.35008228,0.9650267351838678,0.01657313733850578
Enhanced,26.19376,1.2836046,0.9696497259535424,0.012774506780525541
Bilateral_Lung,26.054981,1.630527,0.9689686035833215,0.01496949680363672
NLM_Lung,26.276749,1.6371267,0.9671912050196473,0.015380051776041497
BM3D_Lung,26.79335,1.5294963,0.9746262126714961,0.012311247672784154
Region_Adaptive,26.578907,1.6257198,0.9727737091129238,0.01352702653298499
CNN_Validation,31.866749,2.6264956,0.9824217149075335,0.009849217357811472
CNN_Test,33.577686,0.79871553,0.9911246325770137,0.002351939769975701
